start	end	text	speaker	confidence	source
00:03:23.069	00:03:24.938	Now you have to say something			
00:03:27.425	00:03:27.585	What?		0.4783	whisper
00:03:28.065	00:03:28.425	You know what I mean?		0.4783	whisper
00:03:29.005	00:03:36.245	Since I'm practicing our neighbor's name is Ian.		0.4783	whisper
00:03:40.623	00:03:41.383	It's not a good thing.		0.7103	whisper
00:03:41.743	00:03:44.523	No, it's not good. They don't really learn to depend on it.		0.7103	whisper
00:03:45.403	00:03:49.703	That's what's been happening with, you know, animals.		0.7103	whisper
00:03:50.343	00:03:51.623	So there's Ryan.		0.7103	whisper
00:03:52.323	00:03:54.083	And that's Grandpa's new toy.		0.7103	whisper
00:03:54.403	00:03:56.403	And that's Grandpa's new toy.		0.7103	whisper
00:03:56.803	00:03:58.503	I don't even know what to call it.		0.7103	whisper
00:04:16.243	00:04:19.543	Hi. Are you going to talk to Grandpa now?		0.566	whisper
00:04:21.103	00:04:21.163	Huh?		0.566	whisper
00:04:24.103	00:04:25.263	And he will share.		0.566	whisper
00:04:27.063	00:04:28.223	There's the little ones.		0.566	whisper
00:04:29.643	00:04:34.303	Okay, are you helping?		0.566	whisper
00:04:34.303	00:04:36.323	Ready? Okay.		0.6349	whisper
00:04:36.883	00:04:37.983	There we go.		0.6349	whisper
00:04:39.263	00:04:39.863	Woo!		0.6349	whisper
00:04:42.843	00:04:44.143	He's a white knuckler.		0.6349	whisper
00:04:44.703	00:04:45.523	He likes to go.		0.6349	whisper
00:04:47.123	00:04:48.263	All right, here we go.		0.6349	whisper
00:04:48.703	00:04:49.503	One more time.		0.6349	whisper
00:04:50.323	00:04:51.743	We'll just push you. How's that?		0.6349	whisper
00:04:55.503	00:04:57.643	He says that is rude.		0.6349	whisper
00:05:35.059	00:05:35.719	UME		0.0069	whisper
00:05:38.679	00:05:40.359	this ever		0.0069	whisper
00:05:42.459	00:05:43.859	i		0.0069	whisper
00:05:43.859	00:05:46.379	h		0.0069	whisper
00:05:46.379	00:05:46.939	ho		0.0069	whisper
00:05:51.079	00:05:52.879	Can you sell those?		0.527	whisper
00:05:53.299	00:05:54.039	No, those are free.		0.527	whisper
00:05:54.119	00:05:55.059	When you leave, can you take them?		0.527	whisper
00:05:55.079	00:05:55.299	Oh, you leave.		0.527	whisper
00:05:55.439	00:05:56.239	I won't want one.		0.527	whisper
00:05:56.479	00:05:56.619	Yes.		0.527	whisper
00:05:57.159	00:05:57.959	Oh, my.		0.527	whisper
00:05:57.879	00:05:59.739	and		0.0069	whisper
00:05:58.639	00:06:00.159	They start right off.		0.527	whisper
00:05:59.739	00:06:01.819	ten		0.0069	whisper
00:06:02.319	00:06:02.879	Wendy.		0.527	whisper
00:06:03.539	00:06:05.019	Nice display places.		0.527	whisper
00:06:06.499	00:06:07.499	Thank you.		0.527	whisper
00:06:16.939	00:06:18.079	I'm sorry.		0.0647	whisper
00:06:18.659	00:06:20.099	I'm sorry.		0.0647	whisper
00:06:20.399	00:06:35.639	And here's the latest.		0.0647	whisper
00:06:35.639	00:06:48.099	Thank you.		0.41	whisper
