start	end	text	speaker	confidence	source
00:00:19.145	00:00:19.925	I know.		0.6654	whisper
00:00:29.065	00:00:33.145	Yeah. Yeah. Come on, baby.		0.6654	whisper
00:00:33.765	00:00:35.385	I think, baby, you pushed off him.		0.6654	whisper
00:00:37.185	00:00:39.345	No, look at you. Go, come on.		0.6654	whisper
00:00:39.345	00:00:45.905	Come on. Come on. Come on.		0.5753	whisper
00:00:45.945	00:00:48.205	Come on.		0.5753	whisper
00:00:50.005	00:00:50.685	Hi.		0.5753	whisper
00:00:54.305	00:00:54.345	Yeah.		0.5753	whisper
00:00:57.765	00:00:58.445	Yeah.		0.5753	whisper
00:01:02.225	00:01:04.805	Yeah, well, we'll see what we can do.		0.5753	whisper
00:01:05.105	00:01:06.065	We'll work it out.		0.5753	whisper
00:01:07.305	00:01:08.805	She's doing good. Busy.		0.7305	whisper
00:01:10.165	00:01:12.005	Yeah, she's busy, you know, working.		0.7305	whisper
00:01:13.225	00:01:15.965	Everything seems to be doing pretty good. The plans for the wedding will come along.		0.7305	whisper
00:01:16.965	00:01:18.125	All that kind of stuff.		0.677	whisper
00:01:19.785	00:01:20.105	Yeah.		0.677	whisper
00:01:20.625	00:01:23.125	Because, um, that's just right on the corner, too.		0.677	whisper
00:01:25.805	00:01:26.125	Thanks.		0.677	whisper
00:01:26.585	00:01:28.605	Well, I just wanted to see how you were doing, because I didn't know.		0.677	whisper
00:01:28.605	00:01:29.185	...		0.4593	whisper
00:01:35.505	00:01:36.665	...		0.4593	whisper
00:01:36.665	00:01:37.105	...		0.4593	whisper
00:01:37.105	00:01:37.125	...		0.4593	whisper
00:01:39.545	00:01:40.705	...		0.4593	whisper
00:01:40.705	00:01:42.645	...		0.5841	whisper
00:01:42.645	00:01:43.225	...		0.5841	whisper
00:01:44.705	00:01:44.865	...		0.5841	whisper
00:02:10.705	00:02:10.725	...		0.651	whisper
00:02:17.185	00:02:17.705	...		0.651	whisper
00:02:23.025	00:02:24.425	...		0.651	whisper
00:02:24.425	00:02:25.285	...		0.651	whisper
00:02:40.705	00:02:41.245	...		0.1429	whisper
00:02:43.025	00:02:43.545	...		0.1429	whisper
00:02:43.545	00:02:43.845	in		0.1429	whisper
00:02:43.845	00:02:44.085	...		0.1429	whisper
00:02:44.865	00:02:47.545	Come on, come on, keep doing it.		0.7006	whisper
00:02:48.005	00:02:52.225	Oh, oh, yeah, yeah, yeah, oh, oh, come on, oh.		0.7006	whisper
00:02:54.185	00:02:56.365	Come on, come on, come on.		0.7006	whisper
00:02:56.365	00:02:57.105	Don't have them.		0.7006	whisper
00:02:57.265	00:02:57.685	I know.		0.7006	whisper
00:02:58.625	00:02:59.645	Come on, honey.		0.7006	whisper
00:03:00.365	00:03:01.605	Come on, we're all over.		0.7006	whisper
00:03:02.545	00:03:03.385	That's not a good dog.		0.7006	whisper
00:03:03.985	00:03:04.805	Come on, honey.		0.7006	whisper
00:03:06.445	00:03:08.245	Come on, all the way over to see mommy.		0.7006	whisper
00:03:08.705	00:03:10.465	We're all the way over to see mommy.		0.7006	whisper
00:03:10.625	00:03:11.105	Come on.		0.7006	whisper
00:03:12.165	00:03:12.905	Come on.		0.7006	whisper
00:03:13.385	00:03:14.485	You can do it.		0.8993	whisper
00:03:16.025	00:03:16.965	You can do it.		0.8993	whisper
00:03:17.105	00:03:17.925	Oh, come on.		0.8993	whisper
00:03:18.485	00:03:18.985	That's it.		0.8993	whisper
00:03:19.085	00:03:19.985	That's the way to do it.		0.8993	whisper
00:03:20.165	00:03:20.645	That's right.		0.8993	whisper
00:03:20.785	00:03:21.705	I'm going to just flip over.		0.8993	whisper
00:03:21.845	00:03:22.185	Come on.		0.8993	whisper
00:03:23.705	00:03:24.345	That's it.		0.8993	whisper
00:03:24.765	00:03:25.485	Come on.		0.8993	whisper
00:03:27.065	00:03:27.865	Come on.		0.8993	whisper
00:03:28.625	00:03:30.485	Oh, come on.		0.8993	whisper
00:03:32.405	00:03:34.125	I know that wasn't a fluke.		0.8993	whisper
00:03:34.825	00:03:35.225	No.		0.8993	whisper
00:03:36.985	00:03:38.225	You're not going to do it now, are you?		0.8993	whisper
00:03:38.305	00:03:39.285	You almost did it.		0.8993	whisper
00:03:39.465	00:03:39.865	Almost.		0.8993	whisper
00:03:39.865	00:03:40.085	Almost.		0.761	whisper
00:03:41.085	00:03:42.005	Almost.		0.761	whisper
00:03:42.085	00:03:42.285	Almost.		0.761	whisper
00:03:42.285	00:03:43.025	You almost did it.		0.761	whisper
00:03:44.705	00:03:46.885	Oh, come on.		0.761	whisper
00:03:47.885	00:03:48.705	Almost.		0.761	whisper
00:03:51.885	00:03:53.165	Come on.		0.761	whisper
00:03:56.885	00:03:58.725	Come on.		0.761	whisper
00:04:08.565	00:04:09.805	You're not going to do it.		0.761	whisper
00:04:09.805	00:04:10.805	Trying to get it out.		0.7087	whisper
00:04:11.105	00:04:12.165	Hold on to it.		0.7087	whisper
00:04:13.145	00:04:13.585	Yeah.		0.7087	whisper
00:04:14.265	00:04:14.725	Come on.		0.7087	whisper
00:04:14.965	00:04:15.185	Come on.		0.7087	whisper
00:04:15.185	00:04:15.565	My side.		0.7087	whisper
00:04:16.805	00:04:17.245	Oh.		0.7087	whisper
00:04:18.325	00:04:20.125	You got the bottom part down.		0.7087	whisper
00:04:21.645	00:04:23.085	You got that part down.		0.7087	whisper
00:04:23.405	00:04:27.225	The ball was under the top a little bit, so what I did was I tried to shield them off.		0.7087	whisper
00:04:27.805	00:04:28.945	Ah, ah, ah.		0.7087	whisper
00:04:29.085	00:04:30.405	Work on it every week at black.		0.7087	whisper
00:04:30.585	00:04:32.945	Just bow and just keep my body.		0.7087	whisper
00:04:33.125	00:04:33.465	Okay.		0.7087	whisper
00:04:33.885	00:04:34.325	That's fine.		0.7087	whisper
00:04:34.325	00:04:34.665	That's fine.		0.737	whisper
00:04:35.285	00:04:35.845	That's fine.		0.737	whisper
00:04:36.125	00:04:36.825	You have it on pause?		0.737	whisper
00:04:37.045	00:04:37.205	No.		0.737	whisper
00:04:37.405	00:04:37.585	Oh.		0.737	whisper
00:04:41.245	00:04:43.425	We're going to run lots of tape trying to get you to do it.		0.737	whisper
00:04:43.705	00:04:43.885	Yeah.		0.737	whisper
00:04:48.165	00:04:48.525	Oh.		0.737	whisper
00:04:50.985	00:04:51.685	You're getting another.		0.737	whisper
00:04:51.685	00:04:51.705	but you've got more minutes.		0.0257	whisper
00:04:51.705	00:04:51.745	I'm always wondering.		0.0257	whisper
00:04:51.745	00:04:51.765	It was office but not less than six years,		0.0257	whisper
00:05:09.940	00:05:12.480	Oh, of course it's not gonna do it now.		0.5478	whisper
00:05:13.300	00:05:14.060	Ow.		0.5478	whisper
00:05:14.960	00:05:15.220	Nope.		0.5478	whisper
00:05:15.920	00:05:16.020	Ow.		0.5478	whisper
00:05:16.620	00:05:18.620	Oh, yeah.		0.5478	whisper
00:05:19.180	00:05:19.200	Hi.		0.5478	whisper
00:05:36.013	00:05:37.833	Happy Valentine's Day, baby!		0.6424	whisper
00:05:38.853	00:05:40.693	Happy Valentine's Day, baby!		0.6424	whisper
00:05:41.573	00:05:42.053	Hi!		0.6424	whisper
00:05:44.173	00:05:45.533	Hi, babies!		0.6424	whisper
00:05:47.573	00:05:50.093	Now you rolled over twice today for Mommy,		0.6424	whisper
00:05:50.713	00:05:52.393	and she didn't have the camera out.		0.6424	whisper
00:05:52.713	00:05:53.853	So you're going to do it again?		0.6424	whisper
00:05:54.373	00:05:56.173	So we can get it on the camera?		0.6424	whisper
00:05:57.693	00:05:58.293	Huh?		0.6514	whisper
00:05:58.813	00:06:00.033	Yeah, are you?		0.6514	whisper
00:06:00.333	00:06:02.373	You like that thing that Grandma and Grandpa,		0.6514	whisper
00:06:03.413	00:06:06.073	Darlene and Grandpa Lloyd gave you, huh?		0.6514	whisper
00:06:06.473	00:06:07.373	You like it.		0.6514	whisper
00:06:08.413	00:06:09.473	Yes, you do.		0.6514	whisper
00:06:12.213	00:06:13.993	You like it, yeah.		0.6514	whisper
00:06:18.553	00:06:19.633	Well, come on.		0.6514	whisper
00:06:20.013	00:06:21.133	Roll over for Mommy.		0.6514	whisper
00:06:22.013	00:06:22.873	Roll over.		0.6514	whisper
00:06:23.633	00:06:25.253	You're not going to do it again, are you?		0.6514	whisper
00:06:25.653	00:06:25.973	No.		0.6514	whisper
00:06:27.093	00:06:27.873	And you're blowing bubbles.		0.7982	whisper
00:06:28.633	00:06:31.133	Because you've had a cold ever since Mommy put you in daycare.		0.7982	whisper
00:06:31.613	00:06:33.013	But you're not in daycare anymore.		0.7982	whisper
00:06:33.513	00:06:34.633	Oh, that's a big bubble.		0.7982	whisper
00:06:35.653	00:06:36.833	That's a big bubble.		0.7982	whisper
00:06:37.693	00:06:39.493	Starting today, we're out of daycare.		0.7982	whisper
00:06:39.893	00:06:40.913	Oh, there's your kitty.		0.7982	whisper
00:06:41.573	00:06:43.033	You see your kitty, huh?		0.7982	whisper
00:06:43.413	00:06:44.353	You see your kitty.		0.7982	whisper
00:06:44.493	00:06:45.673	Are you going to smile for Mommy?		0.7982	whisper
00:06:46.593	00:06:47.793	Smile for Mom.		0.7982	whisper
00:06:48.173	00:06:49.093	Smile for Parmesan.		0.7982	whisper
00:06:51.293	00:06:52.773	Smile for you, kitty.		0.4329	whisper
00:06:54.533	00:06:55.573	Yeah, smile.		0.4329	whisper
00:06:56.653	00:06:57.973	Smile, baby.		0.4329	whisper
00:07:11.873	00:07:13.053	Come on, Ryan.		0.4329	whisper
00:07:13.413	00:07:14.553	Roll over for Mommy.		0.4329	whisper
00:07:16.093	00:07:42.293	You did it twice today. Just right boom boom. One after the other. I figured you'd do it again. But no. Okay. We're going to have to keep the camera out. Ryan. Ryan. Hi baby. Hi baby. Smile for mommy. Smile. Hi baby. Hi honey.		0.8287	whisper
00:07:42.853	00:08:06.213	Okay. I'm going to hit you in the head. Hi baby. Hi honey. Oh. Oh. There you go. There you go. Oh. Come on now. Run over. You can do it. You can do it.		0.8486	whisper
